iter	Passed	Remaining
402	11369	16843
403	11402	16820
404	11431	16794
405	11462	16769
406	11493	16745
407	11523	16720
408	11556	16699
409	11588	16676
410	11621	16654
411	11655	16634
412	11688	16612
413	11723	16594
414	11754	16570
415	11785	16544
416	11816	16520
417	11848	16497
418	11879	16473
419	11910	16448
420	11943	16425
421	11972	16398
422	12007	16378
423	12039	16355
424	12072	16333
425	12103	16308
426	12136	16286
427	12171	16266
428	12206	16246
429	12240	16226
430	12274	16204
431	12307	16182
432	12339	16157
433	12370	16133
434	12400	16106
435	12431	16081
436	12462	16056
437	12494	16032
438	12528	16010
439	12561	15986
440	12598	15969
441	12640	15958
442	12674	15935
443	12704	15909
444	12736	15884
445	12766	15858
446	12805	15841
447	12836	15816
448	12866	15788
449	12895	15760
450	12924	15733
451	12957	15709
452	12986	15681
453	13016	15654
454	13048	15629
455	13079	15603
456	13112	15580
457	13146	15557
458	13177	15531
459	13210	15508
460	13239	15479
461	13271	15455
462	13303	15429
463	13334	15403
464	13366	15379
465	13394	15349
466	13425	15322
467	13456	15297
468	13488	15272
469	13523	15250
470	13556	15225
471	13590	15202
472	13621	15177
473	13652	15149
474	13685	15126
475	13717	15101
476	13751	15077
477	13780	15049
478	13810	15021
479	13840	14994
480	13870	14966
481	13900	14938
482	13928	14909
483	13960	14883
484	13988	14853
485	14022	14830
486	14052	14802
487	14084	14777
488	14116	14751
489	14146	14723
490	14177	14696
491	14207	14669
492	14237	14642
493	14267	14613
494	14297	14586
495	14328	14559
496	14357	14531
497	14388	14503
498	14414	14472
499	14443	14443
500	14473	14415
501	14502	14387
502	14534	14361
503	14566	14335
504	14598	14309
505	14627	14280
506	14657	14252
507	14684	14222
508	14713	14192
509	14741	14163
510	14771	14135
511	14799	14105
512	14829	14077
513	14859	14050
514	14888	14020
515	14921	13996
516	14953	13969
517	14983	13942
518	15013	13913
519	15041	13884
520	15071	13856
521	15102	13829
522	15132	13801
523	15161	13772
524	15192	13745
525	15225	13720
526	15257	13694
527	15290	13668
528	15329	13649
529	15366	13626
530	15405	13607
531	15439	13582
532	15470	13554
533	15502	13528
534	15532	13500
535	15559	13469
536	15593	13444
537	15632	13424
538	15661	13395
539	15689	13365
540	15718	13335
541	15750	13309
542	15779	13280
543	15809	13252
544	15842	13226
545	15873	13198
546	15905	13171
547	15937	13145
548	15968	13118
549	15997	13089
550	16028	13061
551	16056	13031
552	16090	13005
553	16122	12979
554	16152	12950
555	16181	12921
556	16213	12894
557	16244	12867
558	16286	12848
559	16324	12826
560	16357	12800
561	16393	12776
562	16427	12750
563	16460	12724
564	16490	12696
565	16526	12672
566	16569	12653
567	16604	12628
568	16636	12601
569	16669	12575
570	16701	12548
571	16733	12520
572	16767	12495
573	16800	12468
574	16838	12446
575	16875	12422
576	16908	12395
577	16941	12368
578	16974	12342
579	17005	12314
580	17040	12288
581	17073	12262
582	17110	12238
583	17143	12211
584	17178	12186
585	17215	12162
586	17249	12136
587	17282	12109
588	17320	12086
589	17357	12061
590	17393	12037
591	17430	12012
592	17463	11985
593	17499	11960
594	17545	11942
595	17577	11915
596	17613	11889
597	17652	11866
598	17687	11840
599	17724	11816
600	17760	11790
601	17800	11768
602	17836	11743
